iter	Passed	Remaining
0	6	673
1	12	614
2	18	587
3	22	550
4	28	538
5	33	521
6	38	513
7	43	498
8	48	491
9	53	483
10	59	479
11	63	468
12	68	457
13	73	448
14	77	439
15	82	431
16	86	424
17	91	417
18	96	411
19	101	404
20	105	397
21	110	390
22	114	383
23	118	376
24	123	371
25	128	366
26	133	361
27	136	351
28	139	341
29	142	332
30	145	322
31	147	313
32	149	304
33	152	295
34	154	287
35	157	279
36	159	271
37	161	264
38	164	257
39	167	250
40	169	243
41	170	234
42	172	228
43	175	222
44	177	216
45	179	211
46	182	205
47	184	200
48	187	194
49	189	189
50	191	184
51	194	179
52	197	174
53	199	170
54	201	164
55	203	160
56	206	155
57	208	150
58	210	146
59	212	141
60	214	137
61	217	133
62	219	129
63	222	124
64	224	120
65	227	116
66	229	113
67	231	109
68	234	105
69	236	101
70	238	97
71	240	93
72	243	90
73	245	86
74	247	82
75	250	78
76	252	75
77	254	71
78	256	68
79	259	64
80	261	61
81	264	57
82	266	54
83	268	51
84	271	47
85	273	44
86	275	41
87	278	37
88	280	34
89	282	31
90	284	28
91	287	24
92	289	21
93	291	18
94	294	15
95	296	12
96	298	9
97	300	6
98	303	3
99	305	0
